cluster,term_id,term,contrast,set_size,background_size,observed_mean_t2,null_median,null_p95,null_exceedances,empirical_p,bonferroni_p,bonferroni_pass,null_seed
Splicing,reactome:R-HSA-72172,mRNA Splicing,C9 vs Sporadic,137,3261,3.307251989506196,1.9449783762272843,2.2986752539838413,0,9.999000099990002e-05,0.0007999200079992001,True,7526920401402965629871254879016922188
Splicing,reactome:R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,C9 vs Sporadic,183,3261,3.539948923629822,1.94822039605954,2.2506951650607734,0,9.999000099990002e-05,0.0007999200079992001,True,288436120032066478651389468472088940756
Splicing,go:0000398,"mRNA splicing, via spliceosome",C9 vs Sporadic,118,3261,3.250684324842974,1.9495613947529309,2.3301016900737355,0,9.999000099990002e-05,0.0007999200079992001,True,56705295261873664885930422895075098321
Chromatin,go:0005694,chromosome,C9 vs Sporadic,321,3261,3.093861058660557,1.9564326783732695,2.174973135395895,0,9.999000099990002e-05,0.0007999200079992001,True,161084172844403407643308610846525726970
Chromatin,go:0000785,chromatin,C9 vs Sporadic,174,3261,3.1245804231074152,1.9520639583259003,2.2560204483065704,0,9.999000099990002e-05,0.0007999200079992001,True,81967792926210505732638066279021041756
Transport,go:0006913,nucleocytoplasmic transport,C9 vs Sporadic,81,3261,3.6379293430038824,1.940652017780985,2.4095224452930206,0,9.999000099990002e-05,0.0007999200079992001,True,149222911607565965523144418233931362916
Transport,go:0005643,nuclear pore,C9 vs Sporadic,40,3261,4.403951547282798,1.931164204987391,2.6154950529980185,0,9.999000099990002e-05,0.0007999200079992001,True,33056196849495005151438478670680818281
Transport,reactome:R-HSA-180910,Vpr-mediated nuclear import of PICs,C9 vs Sporadic,26,3261,5.097052944728342,1.9257538274961188,2.8164281207817643,0,9.999000099990002e-05,0.0007999200079992001,True,11662990157606318159584794787485623400
Splicing,reactome:R-HSA-72172,mRNA Splicing,C9 vs Control,137,3261,2.1667090514307756,1.3135569283076283,1.569934283308566,0,9.999000099990002e-05,0.0007999200079992001,True,292167806629901882422091613292408674138
Splicing,reactome:R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,C9 vs Control,183,3261,2.4180286030592812,1.3213121577202376,1.5381748218185223,0,9.999000099990002e-05,0.0007999200079992001,True,231636515449393488381335558198867095907
Splicing,go:0000398,"mRNA splicing, via spliceosome",C9 vs Control,118,3261,2.105659258819998,1.3191506083215028,1.595984264458111,1,0.00019998000199980003,0.0015998400159984002,True,97967260518199019268571647092966100973
Chromatin,go:0005694,chromosome,C9 vs Control,321,3261,2.3107758433087953,1.3205718145070668,1.4792002599884864,0,9.999000099990002e-05,0.0007999200079992001,True,220722659198807894019904838700131930802
Chromatin,go:0000785,chromatin,C9 vs Control,174,3261,2.185300409993355,1.320259248310507,1.5435952982181484,0,9.999000099990002e-05,0.0007999200079992001,True,100217316893270526807468036767873929550
Transport,go:0006913,nucleocytoplasmic transport,C9 vs Control,81,3261,2.3440205617216767,1.310967587521642,1.65818582154001,0,9.999000099990002e-05,0.0007999200079992001,True,1620482432943661339040269846232944455
Transport,go:0005643,nuclear pore,C9 vs Control,40,3261,3.0104066341329165,1.3030537962450879,1.8043178283883357,0,9.999000099990002e-05,0.0007999200079992001,True,192252250783562486401914541873201957102
Transport,reactome:R-HSA-180910,Vpr-mediated nuclear import of PICs,C9 vs Control,26,3261,3.8318522657451246,1.303656242196114,1.9285621879898367,0,9.999000099990002e-05,0.0007999200079992001,True,277958350568019751759857738313310597725
Splicing,reactome:R-HSA-72172,mRNA Splicing,Sporadic vs Control,137,3261,0.9826737781920747,0.9868859321458631,1.1982417643962242,5134,0.5134486551344866,1.0,False,227127470896609259277174781033864490694
Splicing,reactome:R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,Sporadic vs Control,183,3261,0.9616483765240393,0.9907842137289369,1.1702754727572382,6089,0.6089391060893911,1.0,False,80696019787278598105451563077696783603
Splicing,go:0000398,"mRNA splicing, via spliceosome",Sporadic vs Control,118,3261,0.9544765909751539,0.9899860303443765,1.2193503513532888,6034,0.6034396560343965,1.0,False,265370097960723060110659726114206678594
Chromatin,go:0005694,chromosome,Sporadic vs Control,321,3261,0.9355293068370378,0.9906863016436256,1.1273312088349008,7643,0.7643235676432357,1.0,False,60640960002760392644053902865183195276
Chromatin,go:0000785,chromatin,Sporadic vs Control,174,3261,1.030027695760807,0.9907922056590595,1.1744654656221376,3592,0.35926407359264073,1.0,False,329259898648596733231884626757327441971
Transport,go:0006913,nucleocytoplasmic transport,Sporadic vs Control,81,3261,0.9528652293739474,0.9891170710835044,1.2717342043428943,5909,0.5909409059094091,1.0,False,106327993915132385985807912137475983790
Transport,go:0005643,nuclear pore,Sporadic vs Control,40,3261,1.2390687774509996,0.9750870832258158,1.4026303065598023,1465,0.14658534146585342,1.0,False,199461128179149439930729768610970076205
Transport,reactome:R-HSA-180910,Vpr-mediated nuclear import of PICs,Sporadic vs Control,26,3261,0.9490563156099042,0.9653706795886872,1.4979759674527018,5240,0.524047595240476,1.0,False,169176768290609652234569826601835200273
